object,being,feeling,environment,clothing
holding a flower,salary worker, A happy,in a forest,wearing a tuxedo.
holding an apple,vampire,A depressed, at the beach,wearing a ballgown.
holding a wand,dwarf,An angry,by a campfire,wearing a miniskirt.
holding a sword,fairy,A disgusted, in the mountains,wearing a scarf.
holding a trident,mermaid, A hungry,in a cave,wearing a cape.
holding a broom,centaur,A passionate,at a lake,wearing a cloak.
holding food,cat,A sparkling,in a snow field,wearing a winter coat.
holding a fork,angel,A scared,on a ship,wearing a military uniform.
holding a knife,demon, A prideful,in a cabin,wearing armor.
holding a crystal,skeleton,An annoyed,at a harbor,wearing a suit.
holdings gold,zombie,An embarrassed,on a cliff,wearing a clown costume.
holding silver,dog,A shameful,in a flower field,wearing a mushroom theme outfit.
holding a map,rabbit,A lonely,at a pizza parlor,wearing a flower theme outfit.
holding a lamp,werewolf,A in love,in a mall,wearing a cardigan.
holding a cake,slime,A content,in the arcades,wearing glasses.
holding a flag,spider,A cold,on television,wearing a doctor's coat.
holding a phone,robot, A hot,stcuk in spiderweb,wearing bandages.
holding a candle,snowman,A surprised,in the deserts,wearing a school uniform.
holding candy,statue,A nervous,in a cake shop,wearing a cosplay.
holding a bucket,golem,An ecstatic,in a hospital,wearing traditional clothing.
holding ice cream,ghost,A gloomy,in a graveyard,wearing a sailor's uniform.
holding pizza,mage,A panicked,in a swamp,wearing royal regalia.
holding waffles,swordsman,A vengeful, at the spa,wearing pajamas.
holding pancakes,witch,A calm,in a bedroom,wearing a swimwear.
holding a mug,,A bored,in an airplane,
holding a wine bottle,,A guilty,at school,
holding a tea cup,,,in the kitchen,
holding a kettle,,,in a laboratory,
holding coffee beans,,,,
holding a chair,,,,
holding a spatula,,,,
holding a bookbag,,,,
holding potions,,,,
holding a pen,,,,
holding a bird,,,,
holding a book,,,,